"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]"
"40" -2.56428680966585 21.3367446238571 -5.74326402590662 4.76744399135833 -0.598929955377672
"41" -2.45812934024671 20.5072541827487 -4.66383732829459 4.20556420500281 -0.514339743999578
"42" -2.13203226286259 20.2428077646659 -4.21468756296487 4.40700269706066 -0.446881080343073
"43" -2.85524627185758 22.0452503744696 -5.68910355488333 4.50614142631311 -0.434651014664977
"44" -2.56813340516779 21.2539802474967 -5.82992231949541 4.64935615805526 -0.418937371103346
"45" -2.44166057810095 21.4566390654681 -6.34298520685795 5.20564390659833 -0.507198652145644
"46" -2.04446081629477 20.681304327554 -5.37246459737606 4.81932789476904 -0.617516913787148
"47" -2.2833188479059 20.7776620825669 -5.10799643597341 4.73826491386665 -0.69805627999697
"48" -2.27881966544297 20.908170875193 -5.44437606999921 4.57102108166445 -0.517148749403245
"49" -2.69276657508502 21.7184841148644 -5.97286355006562 4.80276027337397 -0.563497080976642
"50" -2.62360831855756 21.7024430590326 -5.83471745969444 5.16059899676675 -0.839173892358599
"51" -2.82062481596785 22.370546441718 -6.37481250518866 5.11529182086912 -0.531435926049957
"52" -2.49881971104539 21.2184974905603 -5.27672250383178 4.53006343349013 -0.369667409685944
"53" -2.55986769183833 21.0324907853599 -5.77458985211039 4.79137347682464 -0.366565961015788
"54" -2.67378411151791 21.4958774264428 -5.44879165269995 4.41588831431553 -0.4089690116469
"55" -2.36816707452763 21.2461493654395 -5.77939117907015 4.71634071232151 -0.369661511374099
"56" -2.19096633754989 20.6468286929459 -5.40139168300627 4.62941490122479 -0.476283117988943
"57" -2.19299248438302 20.4564599611897 -4.98507686789641 4.78171448938843 -0.724168573109478
"58" -2.28407931358978 20.409525978395 -5.19716558677176 4.68219252153441 -0.570066717526153
"59" -2.12460689679481 20.3255125602452 -3.87515265009845 3.72275131324874 -0.507835868713122
"60" -1.82624926416923 20.1350276770804 -4.7716349388259 4.61716421099802 -0.590273662732307
"61" -2.1876691298206 20.0528625491265 -4.46556341955708 4.39932022967033 -0.509134115529967
"62" -2.29184685727564 20.6183475331204 -4.63572692077491 4.39665724611936 -0.484742099420145
"63" -2.47305770425662 20.4883104378235 -4.25374091927794 3.99413863776303 -0.517170189242028
